pin_count,pitch,columns,rows,body_length,body_width,body_height,ball_diameter,collapsible
100,1.00,10,10,12.0,12.0,1.85,0.50,true
144,1.00,12,12,15.0,15.0,1.85,0.50,true
225,1.00,15,15,17.0,17.0,1.85,0.50,true
256,1.00,16,16,17.0,17.0,1.85,0.50,true
169,1.27,13,13,19.0,19.0,2.10,0.60,true
256,1.27,16,16,23.0,23.0,2.10,0.60,true
96,0.80,12,8,10.0,7.0,1.20,0.40,true
100,0.80,10,10,9.0,9.0,1.20,0.40,true
144,0.80,12,12,11.0,11.0,1.20,0.40,true
196,0.65,14,14,10.0,10.0,1.10,0.30,true
256,0.50,16,16,9.0,9.0,1.00,0.30,true
324,0.50,18,18,10.0,10.0,1.00,0.30,true
484,0.50,22,22,12.0,12.0,1.00,0.30,true
