type,pin_count,pitch,body_width,body_length,body_height,lead_span_x,lead_span_y,L_min,L_max,T_min,T_max,W_min,W_max,has_ep,ep_width,ep_length
QFN,8,0.65,3.00,3.00,0.90,3.00,3.00,2.80,3.20,0.20,0.40,0.23,0.33,true,1.70,1.70
QFN,16,0.50,3.00,3.00,0.90,3.00,3.00,2.80,3.20,0.20,0.40,0.18,0.28,true,1.50,1.50
QFN,20,0.50,4.00,4.00,0.90,4.00,4.00,3.80,4.20,0.20,0.40,0.18,0.28,true,2.50,2.50
QFN,24,0.50,4.00,4.00,0.90,4.00,4.00,3.80,4.20,0.20,0.40,0.18,0.28,true,2.50,2.50
QFN,32,0.50,5.00,5.00,0.90,5.00,5.00,4.80,5.20,0.20,0.40,0.18,0.28,true,3.40,3.40
QFN,40,0.40,5.00,5.00,0.90,5.00,5.00,4.80,5.20,0.20,0.40,0.15,0.25,true,3.40,3.40
QFN,48,0.50,7.00,7.00,0.90,7.00,7.00,6.80,7.20,0.20,0.40,0.18,0.28,true,5.10,5.10
QFN,64,0.50,9.00,9.00,0.90,9.00,9.00,8.80,9.20,0.20,0.40,0.18,0.28,true,7.10,7.10
SON,8,0.65,3.00,3.00,0.90,3.00,3.00,2.80,3.20,0.20,0.40,0.23,0.33,true,1.70,2.40
SON,8,1.27,5.00,6.00,0.90,5.00,5.00,4.80,5.20,0.20,0.40,0.31,0.51,true,3.40,4.40
SON,10,0.50,3.00,3.00,0.90,3.00,3.00,2.80,3.20,0.20,0.40,0.18,0.28,true,1.60,2.40
DFN,6,0.65,2.00,2.00,0.90,2.00,2.00,1.80,2.20,0.20,0.40,0.23,0.33,true,0.60,1.20
DFN,8,0.50,3.00,3.00,0.90,3.00,3.00,2.80,3.20,0.20,0.40,0.18,0.28,true,1.70,2.40
DFN,10,0.50,3.00,3.00,0.90,3.00,3.00,2.80,3.20,0.20,0.40,0.18,0.28,true,1.60,2.40
